fictitious,identifier,class,roadNumber,name1,name1_lang,name2,name2_lang,formOfWay,length,primary,trunkRoad,loop,startNode,endNode,structure,nameTOID,numberTOID,function.,length_raw,length_str,length_dif,sinuosity
false,BDB0358D-462E-40CF-AA4A-62128724B9B5,Unknown,NA,NA,NA,NA,NA,Single Carriageway,121,false,false,false,18C3607E-092F-4E41-B2CF-C40391351103,3E6034A1-44E6-4B0A-A377-202839BB2338,NA,NA,NA,Local Road,121.149536493779,91.006020130534,30.1435163632451,1.3312255202459
false,C582BBBA-2DCC-4341-9241-D897C0AB7FCC,Unclassified,NA,Overgate,NA,NA,NA,Collapsed Dual Carriageway,112,false,false,false,3FE2B48F-5A90-48A8-BF2D-60D915BB4590,FA37C1F1-0552-49EF-AF9E-A4CE3B7590D7,NA,osgb4000000019399175,NA,Minor Road,112.242388787612,112.242385042364,3.74524816493249e-06,1.0000000333675
false,5DBD66A0-653F-4CDD-BF74-7039C419ED46,Unclassified,NA,Eskan Court,NA,NA,NA,Single Carriageway,135,false,false,false,FA37C1F1-0552-49EF-AF9E-A4CE3B7590D7,9298853F-65D2-4299-B24C-A014DB76183B,NA,osgb4000000019551776,NA,Local Road,135.283681896515,135.283681573232,3.232832455069e-07,1.00000000238967
false,E246C604-6951-4C7D-96C1-C8BE4C9D476F,Unclassified,NA,Brickhill Street,NA,NA,NA,Roundabout,25,false,false,false,E2D67D3F-C981-4FC6-93AC-CE7710318492,92CDD2EE-0B7A-4B07-83A1-12484A5416A5,NA,osgb4000000019438371,NA,Minor Road,24.598701298412,21.763145452804,2.83555584560801,1.13029163692157
false,71626715-24CA-4EE8-A974-8411A9CDA4AD,Unclassified,NA,Brickhill Street,NA,NA,NA,Roundabout,23,false,false,false,92CDD2EE-0B7A-4B07-83A1-12484A5416A5,A91D174F-8519-4930-93AA-223CDF18CA8C,NA,osgb4000000019438371,NA,Minor Road,22.9268041198596,20.9969759727431,1.92982814711648,1.09190981356657
false,1ABDF46E-C580-479C-B144-D4BE115F63BF,Unclassified,NA,Overgate,NA,NA,NA,Collapsed Dual Carriageway,93,false,false,false,FA37C1F1-0552-49EF-AF9E-A4CE3B7590D7,36BF7210-3648-4AEA-AB9A-00D4723A992F,NA,osgb4000000019399175,NA,Minor Road,92.5009799329481,92.1998958784707,0.301084054477457,1.00326555742399
false,B2CB9EA5-1D24-43AE-9904-01F1CF728D89,Unclassified,NA,Livingstone Drive,NA,NA,NA,Single Carriageway,358,false,false,false,A91D174F-8519-4930-93AA-223CDF18CA8C,3E6034A1-44E6-4B0A-A377-202839BB2338,NA,osgb4000000019399185,NA,Local Road,357.759784414491,354.016040455796,3.74374395869489,1.01057506872817
false,BEE18582-F0F6-4F44-8597-27268A56B4AF,Unclassified,NA,Brickhill Street,NA,NA,NA,Roundabout,21,false,false,false,A91D174F-8519-4930-93AA-223CDF18CA8C,031D7F5C-6D1C-4874-96A9-1DEDFEE334F2,NA,osgb4000000019438371,NA,Minor Road,21.3567710658604,19.9553952604495,1.40137580541091,1.07022540957574
false,6B25E1C6-C1A2-4EF0-AE95-2878F4C7E270,Unknown,NA,NA,NA,NA,NA,Single Carriageway,70,false,false,false,4CB370FA-011E-4E0C-8D85-300D633982A3,E2D67D3F-C981-4FC6-93AC-CE7710318492,NA,NA,NA,Local Road,70.3302677697815,69.5120658591165,0.818201910664968,1.01177064586633
false,8F821B68-5FE5-477F-BF88-58476CADDEC6,Unclassified,NA,Brickhill Street,NA,NA,NA,Roundabout,23,false,false,false,031D7F5C-6D1C-4874-96A9-1DEDFEE334F2,E2D67D3F-C981-4FC6-93AC-CE7710318492,NA,osgb4000000019438371,NA,Minor Road,22.7203032725848,20.6237557200205,2.09654755256424,1.10165692326005
